Name,Address,Latitude,Longitude,Phone,Website,Email,Facebook Username,Twitter Username,RSS Feed,Description
Allegheny Holistic Health Care,"310 Fairfax Ave., Davis, WV 26260",39.1334237,-79.4667434,304-516-7251,http://alleghenyholistichealthcare.com/,info@brightmorninginn.com,AlleghenyHolisticHealthCare,,,"Nestled along the Allegheny Front, high in the mountains of West Virginia, is a practice that is founded on ancient tradition, wisdom and technique while taking a modern approach toward the wellbeing and maintenance of your health. Allegheny Holistic Health Care was created as a resource to offer alternative treatment options to you for overall health and wellness! Our practice utilizes acupuncture, east Asian medicine, and massage as part of a holistic approach toward your healing. Whether your visiting for preventative maintenance, to relax and rejuvenate or suffering from a specific condition we aim to treat not only the symptoms, but you as a complete person, enabling balance and wellness. To learn more about the  health benefits and specific treatable conditions for acupuncture, east Asian medicine and massage please follow the links. Take a further look into our practice by visiting the rest of our website. Feel free to contact us if you would like to speak in person or if you have any questions regarding the practice or treatment options. We look forward to working with you!"
Amelia’s Restaurant,"43 Amelia Drive, Davis WV 26260",39.0564878,-79.4344343,304-866-7456,,,,,,
Barnyard Babies Petting Zoo,"255 Freeland Rd. Davis, WV 26260",39.0226132,-79.4285359,304-866-4652,,mountaintrailrides@yahoo.com,MountainTrailRides,,,"Pet and play with a variety of friendly farm animals from Springthrough Fall. Also offering hand-led horse rides, gemstone mining and an Adventure Cave attraction. Check out our Barnyard Buddy VIP pass - $15.00 includes visit to petting zoo, cup of food to feed the animals, hand-led horse ride, t-shirt and cowboy hat!"
Ben’s Old Loom Barn,"Cortland Rd. Canaan Valley, WV 26260",39.0289651,-79.4469884,304-866-2732,,,,,,
Best of Canaan,HC 70 Box 189,0,0,304-866-8680 ,,,,,,We would love for you to come and experience Canaan Valley and the surrounding area for yourself. We promise you comfortable and affordable lodging with friendly service and personal attention. After your visit we hope that you will consider sharing your favorite places and photographs.... We would love to hear about your Canaan Valley experience.
Big John’s Family’s Fixins,"6438 Appalachian Hwy RT 32 Canaan Valley Davis, WV 26260-8055",39.0468429,-79.4253776,304-866-4418,,,,,,"Great Food, great people, great atmosphere. Come to Big John’sFamily Fixins for a wide variety of delicious sandwiches, pasta dishes, salads and pizzas. We also have an arcade for the kids. We’re a great stop-off before checking into Timberline."
Black Bear Resort,"247 Lodge Drive Davis, WV 26260",39.089437,-79.4279056,304-866-4391,,,,,,"Imagine being surrounded by miles of national forest and aneighbor to the Canaan Valley National Wildlife Refuge. Relax by the fireside at night, ski two great mountains during the day. Explore the mountaintops and Dolly Sods by cross-country or horseback. Black Bear Resort is the exemplary ""home away from home."" Each Pedestal home and Inn suite is individually owned; each personally appointed with love and care, with you in mind."
Black Water Brewing,"Thomas Ave. Davis, WV 26260",39.1296395,-79.4660271,304-259-4221,,,,,,"Here at the Blackwater Brewing Company you will enjoy our great food, great hand crafted beers, a great facility and great service. Our food is a mixture of three cuisines: American, Italian and German. For your comfort we provide a cozy dining room; warm pub area with booths, high tables with bar stool seating, and bar seating. We recently expanded and have a large space that can be used for parties."
Blackwater Bikes,"466 William Ave Davis, WV  ",39.1286569,-79.4660308,304-259-5286,,info@blackwaterbikes.com,,,,"Blackwater Bikes is located in Davis, WV the East Coast mecca of mountain biking. Blackwater Bikes has everything for the beginning rider to the seasoned Pro racer. For more than 20 years now Blackwater bikes has been providing superior sales and service. Come see what a real bike shop looks  like."
Blackwater Outdoor Adventures,"60 Location Rd., Parsons, WV 26287",39.1642059,-79.7077935,304-478-3775,http://blackwateroutdoors.com,raftboa@frontiernet.net,Blackwater-Outdoor-Adventures,Raftboa,,"Specializing in family adventure. We offer whitewater rafting duckies, canoeing, kayaking, tubing, and fishing. Come see us at our outpost and campground, located in Parsons near Canaan Valley and Blackwater Falls State Parks."
Bright Morning Inn,"454 William Ave. Davis, WV 26260",39.1286974,-79.4658237,304-259-5119,http://brightmorninginn.com,info@brightmorninginn.com,Bright-Morning-Inn,,,
Canaan Trading,Rt. 32 Canaan Valley 26260,39.1228073,-79.3661343,304-866-4489,,2oldnames@frontiernet.net,,,,"Canaan Trading Co. LLC is located in Davis, WV. It is a private company categorized under Gift Shops."
Canaan Valley Resort State Park,"230 Main Lodge Road Davis, WV 26260",39.031102,-79.4593547,304-866-4124,http://canaanresort.com/13/,canaansalesdir@canaanresort.com,CanaanValleyResort,CanaanValleyResort ,,"At Canaan Valley Resort, your winter recreation and relaxation options are plentiful. Downhill skiers of all levels will love the 39 slopes at our West Virginia ski lodge – complete with a vertical drop of 850 feet. Enjoy snowboarding, skiing, airboarding or even snowtubing. Engage in wonderful family fun while ice skating and take advantage of the wide range of winter activities here!"
